ID,Tags,Transcripts Rec'd,Transcripts Req'd,Letters Rec'd,Dept,Degree,Research Interests,Schools Attended,UG GPA,UG GPA SCALE,UG GPA (N),GRAD GPA,GRAD GPA SCALE,GRAD GPA (N),GREV,GREV%,GREV (N),GREQ,GREQ%,GREQ (N),GREA,GREA%,GREA (N),GRESubjName,GRESubjScore,GRESubj%,TOEFL,IELTS,EFL (N),Gender,Ethnicity,CA Res,For/Dom,Number of Reviews,Ratings,Avg. Rating,Admitted
1631927,,1,1,3,CMPS,MS, DATA SCIENCE AND ANALYTICS| COMPUTER GAMES AND DIGITAL MEDIA,GHONGQING JIAOTONG UNIV,3.67,4,0.9175,,,,154 (official),64,3.0544662309368107,167 (official),93,-0.35076252723314383,3 (official),17,-0.1252723311546844,,,,99 (official),,0.825,M,Chinese/Chinese-American,N,Foreign: People's Republic of China,2,"1,2",1.5,No
1444596,DAVIS' LIST|LODHA'S LIST|MALTZAHN'S LIST,4,4,3,CMPS,PhD," PARALLEL, DISTRIBUTED AND REAL-TIME SYSTEMS| COMPUTING FOR SOCIETY| OPEN SOURCE SOFTWARE","UNIV OF CALIF BERKELEY,UC SAN DIEGO,STANFORD UNIVERSITY,UNIV VIRGINIA",3.648,4,0.912,3.621,4,0.90525,166 (official),97,7.418367346938794,159 (official),73,-2.9693877551020194,4.5 (official),82,0.26530612244897966,,,,,,,M,European/European descent,Y,Domestic,3,"4,6,7",5.67,Yes
1634329,SINJONI'S LIST,1,1,3,CMPS,MS," COMPUTER SECURITY| PARALLEL, DISTRIBUTED AND REAL-TIME SYSTEMS| SOFTWARE ENGINEERING AND PROGRAMMING LANGUAGES",KIIT Univ,9.02,10,0.9019999999999999,,,,154 (official),64,1.4887218045113002,166 (official),91,2.621553884711801,3.5 (official),42,-0.16541353383458635,,,,103 (official),,0.8583333333333333,F,Asian Indian,N,Foreign: India,1,6,6,No
1634560,VISHY'S LIST|WALKER'S LIST|ZHANG'S LIST,2,2,5,CMPS,PhD, MACHINE LEARNING| DATA SCIENCE AND ANALYTICS| COMPUTER SECURITY,"UNIVERSITY OF TOLEDO,Shahid Beheshti University",12.67,20,0.6335,3.53,4,0.8825,137 (official),6,-9.909090909090907,158 (official),70,-3.363636363636374,3 (official),17,-0.31818181818181834,,,,,,,M,Iranian,N,Foreign: Iran,2,"1,1",1,No
1631812,LODHA'S LIST|VAN GELDER'S LIST,1,1,3,CMPS,PhD," DATA VISUALIZATION, GRAPHICS AND VISION| MACHINE LEARNING| PARALLEL, DISTRIBUTED AND REAL-TIME SYSTEMS",Mazandaran Univ Sci Tech Babol,16.07,20,0.8035,18.27,20,0.9135,142 (official),17,-4.9090909090909065,158 (official),70,-3.363636363636374,3 (official),17,-0.31818181818181834,,,,,7 (official),0.7777777777777778,F,Not Specified,N,Foreign: Iran,2,"2,2",2,No
1592511,SUZANNE'S LIST,1,1,3,CMPS,MS, COMPUTER SECURITY| ALGORITHMS AND THEORY| DATA SCIENCE AND ANALYTICS,UNIVERSITY OF WATERLOO,80.42,,,,,,163 (official),92,2.0,170 (official),97,1.5,5 (official),93,0.25,,,,,,,U,Not Specified,N,Foreign: Canada,2,8,8,Yes
1634789,ACHLIOPTAS LIST|ALVARO'S LIST,1,1,4,CMPS,PhD," MACHINE LEARNING| DATA VISUALIZATION, GRAPHICS AND VISION| DATA MANAGEMENT SYSTEMS",BANGLADESH UNIV OF ENG/TECH,3.98,4,0.995,4,4,1.0,152 (official),55,3.875,167 (official),93,4.125,4 (official),59,0.625,,,,112 (official),,0.9333333333333333,M,Bangladeshi,N,Foreign: Bangladesh,2,"4,4",4,No
1634878,COMANDUR LIST|GETOOR'S LIST|KOLAITIS'S LIST,1,1,2,CMPS,PhD, DATA SCIENCE AND ANALYTICS| MACHINE LEARNING| DATA MANAGEMENT SYSTEMS| DATA MINING,BANGLADESH UNIV OF ENG/TECH,3.22,4,0.805,3.6,4,0.9,147 (official),34,-1.125,163 (official),85,0.125,3.5 (official),42,0.125,,,,94 (official),,0.7833333333333333,M,Bangladeshi,N,Foreign: Bangladesh,3,"4,4,4",4,No
1634916,LONG'S LIST|MILLER'S LIST,3,3,2,CMPS,PhD," PARALLEL, DISTRIBUTED AND REAL-TIME SYSTEMS| STORAGE SYSTEMS| DATA MANAGEMENT SYSTEMS| VLSI, COMPUTER ARCHITECTURE","AMIRKABIR UNIV OF TECHNOLOGY,ISLAMIC AZAD UNIV,KHAYYAM UNIVERSITY",16.46,20,0.8230000000000001,19.2,20,0.96,144 (official),23,-2.9090909090909065,158 (official),70,-3.363636363636374,3 (official),17,-0.31818181818181834,,,,82 (official),,0.6833333333333333,M,Iranian,N,Foreign: Iran,1,1,1,No
1631287,GETOOR'S LIST|MCDOWELL LIST|PANG LIST|WALKER'S LIST,1,1,3,CMPS,PhD, DATA SCIENCE AND ANALYTICS| NATURAL LANGUAGE PROCESSING AND TEXT ANALYTICS| MACHINE LEARNING| INFORMATION RETRIEVAL,MIDDLE EAST TECHNICAL UNIV,3.12,4,0.78,3.64,4,0.91,152 (official),55,-1.1428571428571388,165 (official),89,-2.142857142857139,4 (official),59,0.2142857142857144,,,,110 (official),,0.9166666666666666,M,Turkish,N,Foreign: Turkey,3,"1,4,4",3,No
1632645,GETOOR'S LIST|HELMBOLD'S LIST|MCDOWELL LIST,2,2,4,CMPS,PhD, MACHINE LEARNING| DATA SCIENCE AND ANALYTICS| SOFTWARE ENGINEERING AND PROGRAMMING LANGUAGES,"KHALIFA UNIVERSITY,CSU EAST BAY",2.88,4,0.72,4,4,1.0,150 (official),47,0.0,162 (official),82,0.0,3 (official),17,0.0,,,,,,,M,Emirati,N,Foreign: United Arab Emirates,2,"4,4",4,No
1633615,GETOOR'S LIST|MCDOWELL LIST|PANG LIST|VISHY'S LIST,2,2,2,CMPS,PhD, MACHINE LEARNING| DATA SCIENCE AND ANALYTICS| NATURAL LANGUAGE PROCESSING AND TEXT ANALYTICS,"UNIV SOUTH CAROLINA COLUMBIA,SULTAN QABOOS UNIVERSITY",2.68,4,0.67,3.92,4,0.98,146 (official),30,0.0,160 (official),76,0.0,2.5 (official),7,0.0,,,,89 (official),,0.7416666666666667,M,Other African-American/Black,N,Foreign: Oman,2,"1,2",1.5,No
1365917,GETOOR'S LIST|PANG LIST|WARMUTH'S LIST,1,1,3,CMPS,PhD," MACHINE LEARNING| DATA SCIENCE AND ANALYTICS| DATA VISUALIZATION, GRAPHICS AND VISION",UC LOS ANGELES (UCLA),3.27,4,0.8175,,,,164 (official),94,5.418367346938794,162 (official),82,0.030612244897980645,5 (official),93,0.7653061224489797,,,,,,,F,European/European descent,Y,Domestic,2,"4,4",4,No
1634694,GETOOR'S LIST|PANG LIST|VISHY'S LIST|WALKER'S LIST,2,2,3,CMPS,PhD, MACHINE LEARNING| DATA SCIENCE AND ANALYTICS| NATURAL LANGUAGE PROCESSING AND TEXT ANALYTICS| BIOINFORMATICS,"UNIV WASHINGTON TACOMA,KING SAUD UNIV",4.46,5,0.892,3.95,4,0.9875,150 (official),47,0.0,151 (official),43,0.0,3 (official),17,0.0,,,,99 (self),,0.825,F,Saudi Arabian,N,Foreign: Saudi Arabia,4,"1,6,6,6",4.75,Yes
1633653,SINJONI'S LIST,1,1,1,CMPS,MS, DATA SCIENCE AND ANALYTICS| HUMAN COMPUTER INTERACTION| MACHINE LEARNING,INDIAN INST OF TECH,8.04,10,0.8039999999999999,,,,149 (official),42,-3.5112781954887,168 (official),95,4.621553884711801,3.5 (official),42,-0.16541353383458635,,,,,,,F,Asian Indian,N,Foreign: India,2,5,5,No
1634692,KOLAITIS'S LIST|PANG LIST,2,2,4,CMPS,PhD, DATA SCIENCE AND ANALYTICS| DATA MANAGEMENT SYSTEMS| MACHINE LEARNING| DATA VISUALIZATION,"MUMBAI UNIV FR CONCEICAO RODRIGUES COLL OF ENGG,ROCHESTER INSTITUTE TECHNOLOGY",67,,,3.04,4,0.76,148 (self),38,-4.5112781954887,152 (self),47,-11.378446115288199,4 (self),59,0.33458646616541365,,,,,,,F,Asian Indian,N,Foreign: India,2,"4,4",4,No
1379819,ELKAIM'S LIST|HELMBOLD'S LIST|MANTEY'S LIST,1,2,3,CMPS,PhD, MACHINE LEARNING| DATA SCIENCE AND ANALYTICS| ROBOTICS AND CONTROLS,"UNIV OF CALIF SANTA CRUZ,DE ANZA COLLEGE",3.6,4,0.9,,,,153 (self),74,-5.581632653061206,163 (self),86,1.0306122448979806,4 (self),56,-0.23469387755102034,,,,,,,U,Not Specified,U,Domestic,1,8,8,No
1132670,SUZANNE'S LIST,6,6,3,CMPS,MS," MACHINE LEARNING| NATURAL LANGUAGE PROCESSING AND TEXT ANALYTICS| DATA VISUALIZATION, GRAPHICS AND VISION","PURDUE UNIV WEST LAFAYETTE,LONG BEACH CC,CSU LONG BEACH,SANTA MONICA COLLEGE,EL CAMINO COLLEGE,INDIANA UNIV BLOOMINGTON",2.96,4,0.74,,,,157 (official),75,-1.581632653061206,161 (official),79,-0.9693877551020194,4 (official),59,-0.23469387755102034,,,,,,,M,Iranian,Y,Domestic,2,2,2,No
1633717,MATEAS' LIST|WALKER'S LIST|ZHANG'S LIST,0,1,3,CMPS,PhD, COMPUTER GAMES AND DIGITAL MEDIA| MACHINE LEARNING| HUMAN COMPUTER INTERACTION,NEW YORK UNIV,3.92,4,0.98,,,,162 (self),90,8.857142857142861,168 (self),95,0.8571428571428612,5 (self),93,1.2142857142857144,,,,,,,M,Turkish,N,Foreign: Turkey,5,"4,4,7,8",5.75,No
1634598,SINJONI'S LIST,1,1,3,CMPS,MS," MACHINE LEARNING| NATURAL LANGUAGE PROCESSING AND TEXT ANALYTICS| DATA VISUALIZATION, GRAPHICS AND VISION",UNIV OF PUNE,4,4,1.0,,,,153 (official),60,0.4887218045113002,159 (official),73,-4.378446115288199,4 (official),59,0.33458646616541365,,,,105 (official),,0.875,F,Asian Indian,N,Foreign: India,1,8,8,No
1633701,CS CR|DE ALFARO'S LIST|FLANAGAN'S LIST,1,1,4,CMPS,PhD, SOFTWARE ENGINEERING AND PROGRAMMING LANGUAGES| MACHINE LEARNING| DATA SCIENCE AND ANALYTICS,UNIVERSITY OF CHICAGO,3.6,4,0.9,,,,168 (official),98,9.418367346938794,167 (official),93,5.030612244897981,5.5 (official),98,1.2653061224489797,,,,,,,M,Iranian,N,Domestic,1,4,4,No
1633323,HELMBOLD'S LIST|VISHY'S LIST,2,2,2,CMPS,PhD," MACHINE LEARNING| DATA VISUALIZATION, GRAPHICS AND VISION| NATURAL LANGUAGE PROCESSING AND TEXT ANALYTICS","UNIV OF MINNESOTA TWIN CITIES,WUHAN UNIV",3.59,4,0.8975,3.667,4,0.91675,152 (official),55,1.0544662309368107,170 (official),97,2.649237472766856,3 (official),17,-0.1252723311546844,,,,,,,M,Chinese/Chinese-American,N,Foreign: People's Republic of China,1,4,4,No
1634595,FLANAGAN'S LIST|KOLAITIS'S LIST,1,1,3,CMPS,PhD, DATA SCIENCE AND ANALYTICS| SOFTWARE ENGINEERING AND PROGRAMMING LANGUAGES| DATA MANAGEMENT SYSTEMS,MAHARSHI DAYANAND UNIVERSITY,84.93,,,83.97,,,138 (official),7,-14.5112781954887,166 (official),91,2.621553884711801,3 (official),17,-0.6654135338345863,,,,85 (official),,0.7083333333333334,F,Asian Indian,N,Foreign: India,1,4,4,No
1575836,SINJONI'S LIST,1,1,4,CMPS,MS, DATA SCIENCE AND ANALYTICS| MACHINE LEARNING| NATURAL LANGUAGE PROCESSING AND TEXT ANALYTICS,MUMBAI UNIV,8.262,10,0.8262,,,,157 (official),75,4.4887218045113,168 (official),95,4.621553884711801,5.5 (official),98,1.8345864661654137,,,,112 (official),,0.9333333333333333,M,Asian Indian,N,Foreign: India,1,9,9,Yes
1366590,SUZANNE'S LIST,0,1,4,CMPS,MS, COMPUTER SECURITY| ALGORITHMS AND THEORY| DATA SCIENCE AND ANALYTICS| DISTRIBUTED SYSTEMS.,UNIV OF CALIF SANTA CRUZ,3.51,4,0.8775,,,,163 (official),92,4.418367346938794,159 (official),73,-2.9693877551020194,4 (official),59,-0.23469387755102034,,,,,,,M,European/European descent,Y,Domestic,1,8,8,Yes
1633527,GETOOR'S LIST|INTERVIEW LIST|PANG LIST|TEN LIST|WALKER'S LIST|WARMUTH'S LIST,1,1,3,CMPS,PhD, NATURAL LANGUAGE PROCESSING AND TEXT ANALYTICS| MACHINE LEARNING| NETWORK SCIENCE,UNIV OF THE ANDES,4.31,5,0.8619999999999999,4.38,5,0.876,161 (official),88,2.5,170 (official),97,1.5,5.5 (official),98,0.75,GMATH,750 (official),71,115 (official),,0.9583333333333334,M,Other Spanish-American/Latino,N,Foreign: Colombia,4,"4,6,6,10",6.5,Yes
1578344,SINJONI'S LIST,1,1,3,CMPS,MS, DATA SCIENCE AND ANALYTICS,VISHWAKARMA INST OF TECH,8.35,10,0.835,,,,161 (official),88,8.4887218045113,166 (official),91,2.621553884711801,4 (official),59,0.33458646616541365,,,,113 (official),,0.9416666666666667,F,Asian Indian,N,Foreign: India,1,4,4,No
1634885,SINJONI'S LIST,1,1,3,CMPS,MS, MACHINE LEARNING| DATA SCIENCE AND ANALYTICS| NATURAL LANGUAGE PROCESSING AND TEXT ANALYTICS,PUNE INST OF COMPUTER TECH,3.39,4,0.8475,,,,160 (official),85,7.4887218045113,168 (official),95,4.621553884711801,5 (official),93,1.3345864661654137,,,,103 (official),,0.8583333333333333,M,Asian Indian,N,Foreign: India,1,8,8,No
1632617,SINJONI'S LIST,1,1,4,CMPS,MS, MACHINE LEARNING| NATURAL LANGUAGE PROCESSING AND TEXT ANALYTICS| DATA SCIENCE AND ANALYTICS| BIG DATA,UNIV OF DELHI,74.24,,,,,,155 (official),68,2.4887218045113,164 (official),87,0.6215538847118012,3 (official),17,-0.6654135338345863,,,,110 (official),,0.9166666666666666,F,Asian Indian,N,Foreign: India,2,7,7,No
1633616,SINJONI'S LIST,1,1,3,CMPS,MS, HUMAN COMPUTER INTERACTION| COMPUTING FOR SOCIETY| MACHINE LEARNING,MUMBAI UNIV,52.6,,,,,,169 (official),99,16.4887218045113,170 (official),97,6.621553884711801,6 (official),99,2.3345864661654137,,,,118 (official),,0.9833333333333333,M,Not Specified,N,Foreign: India,2,3,3,No
1633384,SUZANNE'S LIST,1,1,3,CMPS,MS, DATA SCIENCE AND ANALYTICS| NATURAL LANGUAGE PROCESSING AND TEXT ANALYTICS| ALGORITHMS AND THEORY| MACHINE LEARNING,PUNE INST OF COMPUTER TECH,3.4,4,0.85,,,,152 (official),55,-0.5112781954886998,167 (official),93,3.621553884711801,3 (official),17,-0.6654135338345863,,,,105 (official),,0.875,M,Asian Indian,N,Foreign: India,1,7,7,No
1629966,COMANDUR LIST|MATEAS' LIST|VISHY'S LIST,1,1,3,CMPS,PhD, MACHINE LEARNING| COMPUTER GAMES AND DIGITAL MEDIA,DREXEL UNIVERSITY,3.42,4,0.855,,,,157 (official),75,-1.581632653061206,160 (official),76,-1.9693877551020194,4 (official),59,-0.23469387755102034,,,,,,,M,European/European descent,N,Domestic,3,"4,4,4",4,No
1632644,COMANDUR LIST|PANG LIST|THAKURTA LIST,2,3,3,CMPS,PhD," MACHINE LEARNING| NATURAL LANGUAGE PROCESSING AND TEXT ANALYTICS| DATA VISUALIZATION, GRAPHICS AND VISION","UNIV ROCHESTER,BOGAZICI UNIV,WASHINGTON UNIVERSITY",3.44,4,0.86,,,,153 (official),60,-0.1428571428571388,167 (official),93,-0.1428571428571388,3.5 (official),42,-0.2857142857142856,,,,,,,M,Caribbean,N,Foreign: Turkey,4,"4,4,4,4",4,No
1592706,ACHLIOPTAS' LIST|COMANDUR'S LIST|HELMBOLD'S LIST|THAKURTA'S LIST|WARMUTH'S LIST,3,3,3,CMPS,PhD, MACHINE LEARNING| DATA SCIENCE AND ANALYTICS,"RUTGERS UNIV NEW BRUNSWCK,UNIVERSITY AT BUFFALO (SUNY),SUNY BINGHAMTON",3.1,4,0.775,3.64,4,0.91,154 (official),64,-4.581632653061206,169 (official),97,7.030612244897981,4 (official),59,-0.23469387755102034,,,,,,,M,European/European descent,N,Domestic,4,"4,4,4,6",4.5,No
1634593,SUZANNE'S LIST,1,1,3,CMPS,MS," MACHINE LEARNING| COMPUTER SECURITY| PARALLEL, DISTRIBUTED AND REAL-TIME SYSTEMS",UC SAN DIEGO,3.7,4,0.925,,,,170 (self),99,11.418367346938794,165 (self),89,3.0306122448979806,4 (self),59,-0.23469387755102034,,,,,,,M,European/European descent,Y,Domestic,2,9,9,Yes
1634681,ARDEN'S LIST|FLANAGAN'S LIST,2,2,1,CMPS,PhD, SOFTWARE ENGINEERING AND PROGRAMMING LANGUAGES| DATA SCIENCE AND ANALYTICS| MACHINE LEARNING,"INDIAN INST OF INFO TECH,MAULANA AZAD NAT INST OF TECH",8.74,10,0.874,3.28,4,0.82,,,,,,,,,,,,,58 (official),,0.48333333333333334,F,Asian Indian,N,Foreign: India,0,,,No
